,loss
190,0.22825839709491977
191,0.22751656149910793
192,0.22549434120174355
193,0.23043204313910298
194,0.22543024526410418
195,0.22425122692887503
196,0.21980000468594726
197,0.22186428633388658
198,0.22096068056371507
199,0.23206913069771173
200,0.22139563281398428
201,0.22538690234747757
202,0.21878629016077347
203,0.21242448904826033
204,0.2144017218018232
205,0.21243774703555976
206,0.20865834708112968
207,0.20745742667787276
208,0.20662090889375703
209,0.2103276745192836
210,0.2097088750199997
211,0.2107824314113702
212,0.20322776663517483
213,0.203576340733255
214,0.20182256119713538
215,0.20033042267534715
216,0.2059608101931121
217,0.1996424269030434
218,0.1987710743682087
219,0.19859105752340014
220,0.19622502249783189
221,0.191164990254653
222,0.1918077051133067
223,0.19043197154757047
224,0.186987513042454
225,0.18934942822789722
226,0.18810008881507853
227,0.19096509903646336
228,0.18762275911277673
229,0.1922948375350032
230,0.19102799280896615
231,0.19177660958711223
232,0.19597766228961228
233,0.19019534495540824
234,0.18999245365403158
235,0.18810177561328786
236,0.1883077561832294
237,0.1831120805028508
238,0.1795173647661336
239,0.1780635012725966
240,0.1752584801232115
241,0.17349957604236058
242,0.1721087455930812
243,0.17209718400859245
244,0.17097093039305572
245,0.16953762899544672
246,0.17045337868247912
247,0.17137370725346146
248,0.17493659204937584
249,0.1848707345978732
250,0.1826361655417719
251,0.18371863463190635
252,0.18374840046688137
253,0.18226928326350558
254,0.1799906606797824
255,0.17847654567624943
256,0.17789480003520022
257,0.17153953363728275
258,0.17394978609461267
259,0.1733332821166207
260,0.1808104337804241
261,0.17100300940308344
262,0.16574191304507196
263,0.16840023871737128
264,0.16632369597931312
265,0.16775255760501
266,0.16828140602028016
267,0.16731314524265734
268,0.17138436915228478
269,0.170185522091071
270,0.17026399665930503
271,0.16864299563803972
272,0.17511881896833878
273,0.18999417492808315
274,0.18437368299865317
275,0.17878323331814835
276,0.16845922469920108
277,0.1665250943918263
278,0.1597111854945407
279,0.15592435095423252
280,0.15377645172227666
281,0.15032617632816223
282,0.14991130956256882
283,0.14880371864995887
284,0.1526474392896985
285,0.1523614933634412
286,0.15104679866197857
287,0.152489467932997
288,0.1574981172945726
289,0.16038863782764817
290,0.15882324634998313
291,0.15352069819184194
292,0.1483861284194512
293,0.1477573218062238
294,0.1448297217882545
295,0.14155858272939126
296,0.1418160937867509
297,0.14041620649054917
298,0.14013877747146583
299,0.1395574039249012
300,0.13574261973151924
301,0.1380531875572756
302,0.13868893303377097
303,0.14041374262469808
304,0.13828240353405452
305,0.13818878992131522
306,0.13494740479635475
307,0.14255291569723316
308,0.14566002468452255
309,0.14830681544938296
310,0.1465735755351438
311,0.14020156262492112
312,0.13894281847141293
313,0.1364816699584233
314,0.13456260331921846
315,0.13325275687228164
316,0.13287513340363266
317,0.13253674143115932
318,0.13269521978058932
319,0.13346422233145042
320,0.1341685896265249
321,0.1346417066974615
322,0.1322029806780005
323,0.132030506740267
324,0.13280660681665382
325,0.1373360972806909
326,0.1310663672085663
327,0.13121221926640295
328,0.13320435639132677
329,0.13737045671300177
330,0.14792747575863074
331,0.16254900168525338
332,0.15131322575201395
333,0.13993824046146874
334,0.13836476022889135
335,0.13531619943059656
336,0.13436117941098538
337,0.13238402109200337
338,0.13015003527477584
339,0.13109359734750314
340,0.1319056445960777
341,0.12985570538773206
342,0.12837100500012857
343,0.1280684080874197
344,0.12647352155546923
345,0.12733532349421117
346,0.1309724714054466
347,0.13065720987266996
348,0.13405160363741989
349,0.13801537725647106
350,0.1414788558074824
351,0.14491057866164828
352,0.1461659865622909
353,0.1498810352290653
354,0.14963711194144386
355,0.15079022955340785
356,0.1533332569499465
357,0.15651337405851606
358,0.16088846868048676
359,0.16089116767561082
360,0.16633291935059683
361,0.16765926574281673
362,0.18046243654548916
363,0.1814170499947735
364,0.1790448432927106
365,0.16922751200008043
366,0.1763207815463776
367,0.17244543670433835
368,0.16915920198355094
369,0.18641002865003867
370,0.16608814643634798
371,0.15674454574219598
372,0.1542746798153686
373,0.14556702276617692
374,0.13959305912872086
375,0.13649967715414668
376,0.13336617784490454
377,0.12794233869377045
378,0.12250839690643647
379,0.12092322951730221
380,0.11977636313598995
381,0.11998072356941065
382,0.11821286036323952
383,0.11761878233067706
384,0.11587413051408453
385,0.1157585439373307
386,0.1149091659025273
387,0.11524146843331806
388,0.11421733007465218
389,0.11319598256850988
390,0.11156761394896393
391,0.11064954380536803
392,0.11148435504248747
393,0.1087105883189717
394,0.10814490870962207
395,0.10696236658359343
396,0.10534020649774993
397,0.10481475445871051
398,0.1051040488518645
399,0.10511366125770336
400,0.10535961194212094
401,0.10792261477187132
402,0.10557877633817042
403,0.1043199034664577
404,0.10293845857384583
